trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
61111,05:32:00,05:32:00,3894,0,0,0
61111,05:33:00,05:33:00,1308,1,0,0
61111,05:35:00,05:35:00,1278,2,0,0
61111,05:37:00,05:37:00,1274,3,0,0
61111,05:38:00,05:38:00,1336,4,0,0
61111,05:39:00,05:39:00,1338,5,0,0
61111,05:41:00,05:41:00,1516,6,0,0
61111,05:42:00,05:42:00,14379,7,0,0
61111,05:42:00,05:42:00,1522,8,0,0
61111,05:44:00,05:44:00,1537,9,0,0
61111,05:45:00,05:45:00,1541,10,0,0
61111,05:46:00,05:46:00,1543,11,0,0
61111,05:47:00,05:47:00,1572,12,0,0
61111,05:48:00,05:48:00,12027,13,0,0
61111,05:49:00,05:49:00,1567,14,0,0
61111,05:49:00,05:49:00,1569,15,0,0
61111,05:51:00,05:51:00,1571,16,0,0
61111,05:53:00,05:53:00,9604,17,0,0
61111,05:55:00,05:55:00,1605,18,0,0
61111,05:56:00,05:56:00,4354,19,0,0
61111,05:57:00,05:57:00,1606,20,0,0
61112,06:48:00,06:48:00,3894,1,0,0
61112,06:50:00,06:50:00,1308,2,0,0
61112,06:53:00,06:53:00,1278,3,0,0
61112,06:54:00,06:54:00,1274,4,0,0
61112,06:56:00,06:56:00,1336,5,0,0
61112,06:57:00,06:57:00,1338,6,0,0
61112,06:59:00,06:59:00,1516,7,0,0
61112,06:59:00,06:59:00,14379,8,0,0
61112,07:00:00,07:00:00,1522,9,0,0
61112,07:01:00,07:01:00,1537,10,0,0
61112,07:02:00,07:02:00,1541,11,0,0
61112,07:03:00,07:03:00,1543,12,0,0
61112,07:05:00,07:05:00,1572,13,0,0
61112,07:06:00,07:06:00,12027,14,0,0
61112,07:06:00,07:06:00,1567,15,0,0
61112,07:07:00,07:07:00,1569,16,0,0
61112,07:08:00,07:08:00,1571,17,0,0
61112,07:10:00,07:10:00,9604,18,0,0
61112,07:14:00,07:14:00,1605,19,0,0
61112,07:15:00,07:15:00,4354,20,0,0
61112,07:16:00,07:16:00,1606,21,0,0
61113,07:16:00,07:17:00,1606,1,0,0
61113,07:18:00,07:18:00,3117,2,0,0
61113,07:19:00,07:19:00,1570,3,0,0
61113,07:21:00,07:21:00,1568,4,0,0
61113,07:21:00,07:21:00,1566,5,0,0
61113,07:22:00,07:22:00,12028,6,0,0
61113,07:23:00,07:23:00,1545,7,0,0
61113,07:25:00,07:25:00,1542,8,0,0
61113,07:26:00,07:26:00,1540,9,0,0
61113,07:28:00,07:28:00,1536,10,0,0
61113,07:28:00,07:28:00,1521,11,0,0
61113,07:30:00,07:30:00,1515,12,0,0
61113,07:32:00,07:32:00,1337,13,0,0
61113,07:32:00,07:32:00,1335,14,0,0
61113,07:35:00,07:35:00,1273,15,0,0
61113,07:37:00,07:37:00,1230,16,0,0
61113,07:38:00,07:38:00,1306,17,0,0
61113,07:40:00,07:40:00,1301,18,0,0
61114,07:57:00,07:57:00,3894,1,0,0
61114,07:59:00,07:59:00,1308,2,0,0
61114,08:02:00,08:02:00,1278,3,0,0
61114,08:03:00,08:03:00,1274,4,0,0
61114,08:05:00,08:05:00,1336,5,0,0
61114,08:06:00,08:06:00,1338,6,0,0
61114,08:08:00,08:08:00,1516,7,0,0
61114,08:08:00,08:08:00,14379,8,0,0
61114,08:09:00,08:09:00,1522,9,0,0
61114,08:10:00,08:10:00,1537,10,0,0
61114,08:11:00,08:11:00,1541,11,0,0
61114,08:12:00,08:12:00,1543,12,0,0
61114,08:14:00,08:14:00,1572,13,0,0
61114,08:15:00,08:15:00,12027,14,0,0
61114,08:15:00,08:15:00,1567,15,0,0
61114,08:16:00,08:16:00,1569,16,0,0
61114,08:17:00,08:17:00,1571,17,0,0
61114,08:19:00,08:19:00,9604,18,0,0
61114,08:23:00,08:23:00,1605,19,0,0
61114,08:24:00,08:24:00,4354,20,0,0
61114,08:25:00,08:25:00,1606,21,0,0
61115,08:25:00,08:26:00,1606,1,0,0
61115,08:27:00,08:27:00,3117,2,0,0
61115,08:28:00,08:28:00,1570,3,0,0
61115,08:30:00,08:30:00,1568,4,0,0
61115,08:30:00,08:30:00,1566,5,0,0
61115,08:31:00,08:31:00,12028,6,0,0
61115,08:32:00,08:32:00,1545,7,0,0
61115,08:34:00,08:34:00,1542,8,0,0
61115,08:35:00,08:35:00,1540,9,0,0
61115,08:37:00,08:37:00,1536,10,0,0
61115,08:37:00,08:37:00,1521,11,0,0
61115,08:39:00,08:39:00,1515,12,0,0
61115,08:41:00,08:41:00,1337,13,0,0
61115,08:41:00,08:41:00,1335,14,0,0
61115,08:44:00,08:44:00,1273,15,0,0
61115,08:46:00,08:46:00,1230,16,0,0
61115,08:47:00,08:47:00,1306,17,0,0
61115,08:49:00,08:49:00,1301,18,0,0
61116,09:06:00,09:06:00,3894,1,0,0
61116,09:08:00,09:08:00,1308,2,0,0
61116,09:11:00,09:11:00,1278,3,0,0
61116,09:13:00,09:13:00,1274,4,0,0
61116,09:16:00,09:16:00,1336,5,0,0
61116,09:17:00,09:17:00,1338,6,0,0
61116,09:19:00,09:19:00,1516,7,0,0
61116,09:19:00,09:19:00,14379,8,0,0
61116,09:20:00,09:20:00,1522,9,0,0
61116,09:21:00,09:21:00,1537,10,0,0
61116,09:22:00,09:22:00,1541,11,0,0
61116,09:23:00,09:23:00,1543,12,0,0
61116,09:25:00,09:25:00,1572,13,0,0
61116,09:26:00,09:26:00,12027,14,0,0
61116,09:27:00,09:27:00,1567,15,0,0
61116,09:28:00,09:28:00,1569,16,0,0
61116,09:29:00,09:29:00,1571,17,0,0
61116,09:31:00,09:31:00,9604,18,0,0
61116,09:35:00,09:35:00,1605,19,0,0
61116,09:36:00,09:36:00,4354,20,0,0
61116,09:37:00,09:37:00,1606,21,0,0
61117,09:37:00,09:38:00,1606,1,0,0
61117,09:39:00,09:39:00,3117,2,0,0
61117,09:42:00,09:42:00,1570,3,0,0
61117,09:43:00,09:43:00,1568,4,0,0
61117,09:44:00,09:44:00,1566,5,0,0
61117,09:45:00,09:45:00,12028,6,0,0
61117,09:46:00,09:46:00,1545,7,0,0
61117,09:47:00,09:47:00,1542,8,0,0
61117,09:49:00,09:49:00,1540,9,0,0
61117,09:51:00,09:51:00,1536,10,0,0
61117,09:51:00,09:51:00,1521,11,0,0
61117,09:53:00,09:53:00,1515,12,0,0
61117,09:55:00,09:55:00,1337,13,0,0
61117,09:56:00,09:56:00,1335,14,0,0
61117,09:58:00,09:58:00,1273,15,0,0
61117,10:01:00,10:01:00,1230,16,0,0
61117,10:02:00,10:02:00,1306,17,0,0
61117,10:04:00,10:04:00,1301,18,0,0
61118,10:39:00,10:39:00,3894,1,0,0
61118,10:41:00,10:41:00,1308,2,0,0
61118,10:44:00,10:44:00,1278,3,0,0
61118,10:46:00,10:46:00,1274,4,0,0
61118,10:49:00,10:49:00,1336,5,0,0
61118,10:50:00,10:50:00,1338,6,0,0
61118,10:52:00,10:52:00,1516,7,0,0
61118,10:52:00,10:52:00,14379,8,0,0
61118,10:53:00,10:53:00,1522,9,0,0
61118,10:54:00,10:54:00,1537,10,0,0
61118,10:55:00,10:55:00,1541,11,0,0
61118,10:56:00,10:56:00,1543,12,0,0
61118,10:58:00,10:58:00,1572,13,0,0
61118,10:59:00,10:59:00,12027,14,0,0
61118,11:00:00,11:00:00,1567,15,0,0
61118,11:01:00,11:01:00,1569,16,0,0
61118,11:02:00,11:02:00,1571,17,0,0
61118,11:04:00,11:04:00,9604,18,0,0
61118,11:08:00,11:08:00,1605,19,0,0
61118,11:09:00,11:09:00,4354,20,0,0
61118,11:10:00,11:10:00,1606,21,0,0
61119,11:10:00,11:11:00,1606,1,0,0
61119,11:12:00,11:12:00,3117,2,0,0
61119,11:15:00,11:15:00,1570,3,0,0
61119,11:16:00,11:16:00,1568,4,0,0
61119,11:17:00,11:17:00,1566,5,0,0
61119,11:18:00,11:18:00,12028,6,0,0
61119,11:19:00,11:19:00,1545,7,0,0
61119,11:20:00,11:20:00,1542,8,0,0
61119,11:22:00,11:22:00,1540,9,0,0
61119,11:24:00,11:24:00,1536,10,0,0
61119,11:24:00,11:24:00,1521,11,0,0
61119,11:26:00,11:26:00,1515,12,0,0
