stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,alias,stop_area,stop_desc,lest_x,lest_y,zone_name
138111,7400945-1,Kauba,58.25584634,22.48143222,138111,,Kuressaare linn,,6458239.50,410855.46,
92480,8200664-1,Tuuri,58.09261395,25.99464508,92480,,Põdrala vald,,6440799.00,617625.00,
785,00101-1,Kakumäe,59.45905462,24.57329861,785,,Haabersti,,6591392.00,532511.37,Harju1
786,00102-1,Kakumäe,59.4592616,24.57317864,786,,Haabersti,,6591415.00,532504.37,Harju1
787,00103-1,Soolahe tee,59.45572236,24.57786127,787,,Haabersti,,6591023.00,532773.31,Harju1
788,00104-1,Soolahe tee,59.45566804,24.57796615,788,,Haabersti,,6591017.00,532779.31,Harju1
789,00105-1,Teeotsa,59.4537078,24.58077164,789,,Haabersti,,6590800.00,532940.31,Harju1
790,00106-1,Teeotsa,59.45377094,24.58070219,790,,Haabersti,,6590807.00,532936.31,Harju1
791,00107-1,Sooranna tee,59.4515636,24.58456097,791,,Haabersti,,6590563.00,533157.31,Harju1
792,00108-1,Sooranna tee,59.45193451,24.58391498,792,,Haabersti,,6590604.00,533120.31,Harju1
793,00109-1,Landi,59.44880862,24.59041731,793,,Haabersti,,6590259.00,533492.18,Harju1
794,00124-1,Landi,59.44871153,24.59004763,794,,Haabersti,,6590248.00,533471.31,Harju1
795,00110-1,Landi,59.44878342,24.59003124,795,,Haabersti,,6590256.00,533470.31,Harju1
796,00111-1,Kakumäe tee,59.44205145,24.5949195,796,,Haabersti,,6589508.50,533754.25,Harju1
797,00112-1,Kakumäe tee,59.44291703,24.59407091,797,,Haabersti,,6589604.50,533705.25,Harju1
798,00113-1,Vismeistri,59.43611644,24.60117676,798,,Haabersti,,6588850.50,534115.18,Harju1
1186,09805-1,Sitsi,59.45332031,24.70438886,1186,,Põhja-Tallinn,,6590824.00,539951.87,Harju1
802,00117-1,Tiskre oja,59.43164414,24.60061903,802,,Harku vald,,6588352.00,534088.00,Harju1
803,00118-1,Jõeküla,59.43581229,24.58195984,803,,Harku vald,,6588807.00,533025.00,Harju1
804,00119-1,Jõeküla,59.43609404,24.58117163,804,,Harku vald,,6588838.00,532980.00,Harju1
805,00201-1,Merirahu,59.44491539,24.61245645,805,,Haabersti,,6589836.50,534746.31,Harju1
806,00202-1,Paljandi,59.44007195,24.62310185,806,,Haabersti,,6589302.50,535355.25,Harju1
807,00203-1,Õismäe raba,59.4372244,24.62729708,807,,Haabersti,,6588987.50,535596.25,Harju1
808,00301-1,Tuleraua,59.43164879,24.62185471,808,,Haabersti,,6588363.50,535293.18,Harju1
809,00302-1,Pikaliiva,59.42755592,24.62930866,809,,Haabersti,,6587911.50,535720.50,Harju1
810,00303-1,Hälli,59.43435,24.62926,810,,Haabersti,,6588668.33,535710.63,Harju1
811,00304-1,Rocca al Mare,59.43117201,24.6370873,811,,Haabersti,,6588318.50,536158.18,Harju1
812,00305-1,Tanuma,59.42806592,24.63340001,812,,Haabersti,,6587970.50,535952.18,Harju1
813,00306-1,Sõba,59.42541317,24.63622132,813,,Haabersti,,6587676.50,536115.12,Harju1
137778,6701248-1,Susivälja,58.3891805,24.6085306,137778,,Sauga vald,,6472242.29,535590.42,
816,00309-1,Zoo,59.42633049,24.65779341,816,,Haabersti,,6587790.50,537338.62,Harju1
1624,21101-1,Balti jaam,59.44105122,24.738427,1624,Tallinn; Balti Jaam,Põhja-Tallinn,,6589478.00,541897.43,Harju1
819,00601-1,Sõba,59.42517716,24.63676305,819,,Haabersti,,6587650.50,536146.12,Harju1
821,00701-1,Haabersti,59.42372156,24.64808073,821,,Haabersti,,6587494.50,536790.12,Harju1
822,00702-1,Zoo,59.42621736,24.65887471,822,,Haabersti,,6587778.50,537400.12,Harju1
823,00801-1,Karikakra,59.41683205,24.65259876,823,,Haabersti,,6586729.50,537054.06,Harju1
824,00802-1,Karikakra,59.41821233,24.65121604,824,,Haabersti,,6586882.50,536974.06,Harju1
825,00901-1,Sinilille,59.41944364,24.6454456,825,,Haabersti,,6587016.50,536645.12,Harju1
826,00911-1,Sinilille,59.41945037,24.64590369,826,,Haabersti,,6587017.50,536671.12,Harju1
827,00902-1,Sinilille,59.41921517,24.64260546,827,,Haabersti,,6586989.50,536484.12,Harju1
828,00903-1,Sinilille,59.42039854,24.64475906,828,,Haabersti,,6587122.50,536605.12,Harju1
830,01001-1,Meelespea,59.4157554,24.63968618,830,,Haabersti,,6586602.50,536322.06,Harju1
831,01002-1,Meelespea,59.41646467,24.63966423,831,,Haabersti,,6586681.50,536320.06,Harju1
